#           M     M*dndm_      dndm_j     f(sig)_  lnsigma_j    neff_j       ngtm_   sigma_j
  3.16228e+15         nan         nan         nan   0.986169 -1.235227         nan  0.373003
  3.54813e+15         nan         nan         nan   1.020164 -1.221827         nan  0.360536
  3.98107e+15         nan         nan         nan   1.054484 -1.199512         nan  0.348372
  4.46684e+15         nan         nan         nan   1.089261 -1.177652         nan  0.336465
  5.01187e+15         nan         nan         nan   1.124343 -1.163544         nan  0.324866
  5.62341e+15         nan         nan         nan   1.159815 -1.138272         nan  0.313544
  6.30957e+15         nan         nan         nan   1.195748 -1.120123         nan  0.302478
  7.07946e+15         nan         nan         nan   1.231963 -1.102240         nan  0.291719
  7.94328e+15         nan         nan         nan   1.268645 -1.074474         nan  0.281212
  8.91251e+15         nan         nan         nan   1.305753 -1.060542         nan  0.270968
  1.00000e+16         nan         nan         nan   1.343169 -1.036897         nan  0.261017
  1.12202e+16         nan         nan         nan   1.381116 -1.009396         nan  0.251298
  1.25893e+16         nan         nan         nan   1.419415 -0.997482         nan  0.241855
  1.41254e+16         nan         nan         nan   1.458087 -0.969776         nan  0.232681
  1.58489e+16         nan         nan         nan   1.497310 -0.946555         nan  0.223731
  1.77828e+16         nan         nan         nan   1.536804 -0.932548         nan  0.215067
  1.99526e+16         nan         nan         nan   1.576772 -0.900474         nan  0.206641
  2.23872e+16         nan         nan         nan   1.617269 -0.884810         nan  0.198440
  2.51189e+16         nan         nan         nan   1.658018 -0.863275         nan  0.190516
  2.81838e+16         nan         nan         nan   1.699360 -0.828721         nan  0.182800
  3.16228e+16         nan         nan         nan   1.741134 -0.819794         nan  0.175322
  3.54813e+16         nan         nan         nan   1.783208 -0.790970         nan  0.168098
  3.98107e+16         nan         nan         nan   1.825917 -0.761919         nan  0.161070
  4.46684e+16         nan         nan         nan   1.868837 -0.760346         nan  0.154303
  5.01187e+16         nan         nan         nan   1.912048 -0.733710         nan  0.147777
  5.62341e+16         nan         nan         nan   1.955713 -0.725485         nan  0.141464
  6.30957e+16         nan         nan         nan   1.999264 -0.727378         nan  0.135435
  7.07946e+16         nan         nan         nan   2.043121 -0.700532         nan  0.129623
  7.94328e+16         nan         nan         nan   2.087254 -0.708956         nan  0.124027
  8.91251e+16         nan         nan         nan   2.131286 -0.693573         nan  0.118685
